type,value,role,label,source
domain,www.sunenergies.fr,phishing,Unknown Loader,ThreatFox
domain,www.swissvitiligocenter.com,phishing,Unknown Loader,ThreatFox
domain,www.widewingstiles.co.uk,phishing,Unknown Loader,ThreatFox
domain,www.krankengymnastik-seibel.de,phishing,Unknown Loader,ThreatFox
domain,www.kyosk.app,phishing,Unknown Loader,ThreatFox
domain,www.lenhardtrodgers.net,phishing,Unknown Loader,ThreatFox
domain,www.loveabowlpets.com,phishing,Unknown Loader,ThreatFox
domain,www.msbedachungen.de,phishing,Unknown Loader,ThreatFox
domain,www.msindreni.co.za,phishing,Unknown Loader,ThreatFox
domain,www.padelitalia.it,phishing,Unknown Loader,ThreatFox
domain,www.puensinp.com,phishing,Unknown Loader,ThreatFox
domain,www.sudeepdalela.com,phishing,Unknown Loader,ThreatFox
domain,ww4mori.com,phishing,Unknown Loader,ThreatFox
domain,www.abikasrl.com,phishing,Unknown Loader,ThreatFox
domain,www.agence-immobiliere-nanterre.com,phishing,Unknown Loader,ThreatFox
domain,www.carismapacific.com,phishing,Unknown Loader,ThreatFox
domain,www.clinicwiseai.com,phishing,Unknown Loader,ThreatFox
domain,www.darlingtonstudios.com,phishing,Unknown Loader,ThreatFox
domain,www.donneandgo.com,phishing,Unknown Loader,ThreatFox
domain,www.fratellibenini.com,phishing,Unknown Loader,ThreatFox
domain,www.itscostruzioni.it,phishing,Unknown Loader,ThreatFox
domain,primobolan.org,phishing,Unknown Loader,ThreatFox
domain,redpillmt.com,phishing,Unknown Loader,ThreatFox
domain,sealfit.com,phishing,Unknown Loader,ThreatFox
domain,seismicguys.co.nz,phishing,Unknown Loader,ThreatFox
domain,senmixmaster.com,phishing,Unknown Loader,ThreatFox
domain,terrabrass.com,phishing,Unknown Loader,ThreatFox
domain,thelegalstuff.co.za,phishing,Unknown Loader,ThreatFox
domain,thewheelatsteelpier.com,phishing,Unknown Loader,ThreatFox
domain,trip2balkan.com,phishing,Unknown Loader,ThreatFox
domain,librocannabismedicinal.com,phishing,Unknown Loader,ThreatFox
domain,magnetic-websites.com,phishing,Unknown Loader,ThreatFox
domain,marinaisle.com,phishing,Unknown Loader,ThreatFox
domain,marvinarrington.com,phishing,Unknown Loader,ThreatFox
domain,medvitro.com,phishing,Unknown Loader,ThreatFox
domain,moesbarbershop.com,phishing,Unknown Loader,ThreatFox
domain,onetrueself.com,phishing,Unknown Loader,ThreatFox
domain,pedrofrancke.com,phishing,Unknown Loader,ThreatFox
domain,politicalgastronomica.com,phishing,Unknown Loader,ThreatFox
domain,getcardfly.com,phishing,Unknown Loader,ThreatFox
domain,hebediepenmaat.nl,phishing,Unknown Loader,ThreatFox
domain,hp-bacher.com,phishing,Unknown Loader,ThreatFox
domain,hulamonkeys.com,phishing,Unknown Loader,ThreatFox
domain,interba.cz,phishing,Unknown Loader,ThreatFox
domain,isyapp.de,phishing,Unknown Loader,ThreatFox
domain,kalpapharm.net,phishing,Unknown Loader,ThreatFox
domain,kingsdale-estates.com,phishing,Unknown Loader,ThreatFox
domain,lakeshore-painting.org,phishing,Unknown Loader,ThreatFox
domain,lat-est.org.il,phishing,Unknown Loader,ThreatFox
domain,dearestsomeday.com,phishing,Unknown Loader,ThreatFox
domain,dirigo-edu.com,phishing,Unknown Loader,ThreatFox
domain,duansungrouphanam.com.vn,phishing,Unknown Loader,ThreatFox
domain,e-labelqr.com,phishing,Unknown Loader,ThreatFox
domain,electsojourner.com,phishing,Unknown Loader,ThreatFox
domain,essencieleste.fr,phishing,Unknown Loader,ThreatFox
domain,estefaniadamasopsicologa.es,phishing,Unknown Loader,ThreatFox
domain,ethersolutions.org,phishing,Unknown Loader,ThreatFox
domain,fr8qu8ncy.com,phishing,Unknown Loader,ThreatFox
domain,freshpetnutrition.com,phishing,Unknown Loader,ThreatFox
domain,archive.camerimage.pl,phishing,Unknown Loader,ThreatFox
domain,avecaume.com,phishing,Unknown Loader,ThreatFox
domain,billiebates.com,phishing,Unknown Loader,ThreatFox
domain,chrioseedoflifechurch.org,phishing,Unknown Loader,ThreatFox
domain,christinegrauer.com,phishing,Unknown Loader,ThreatFox
domain,citysuitsjersey.co.uk,phishing,Unknown Loader,ThreatFox
domain,cornercafeatlanta.com,phishing,Unknown Loader,ThreatFox
domain,craftsbymrandmrs.com,phishing,Unknown Loader,ThreatFox
domain,dataspoiler.com,phishing,Unknown Loader,ThreatFox
domain,1010trenchless.net,phishing,Unknown Loader,ThreatFox
domain,abaylartur.com,phishing,Unknown Loader,ThreatFox
domain,aleh.org,phishing,Unknown Loader,ThreatFox
domain,prostafene.com,phishing,ClearFake,ThreatFox
domain,globalrenovation.ch,phishing,ClearFake,ThreatFox
domain,zentzbyzee.com.au,phishing,IClickFix,ThreatFox
domain,zimmerei-ruhland.de,phishing,IClickFix,ThreatFox
domain,serenespheresph.com,phishing,IClickFix,ThreatFox
domain,shop.tarela.lt,phishing,IClickFix,ThreatFox
domain,stpauls.edu.ph,phishing,IClickFix,ThreatFox
domain,studiokasa.com.br,phishing,IClickFix,ThreatFox
domain,terporten.nl,phishing,IClickFix,ThreatFox
domain,themetabolicclinic.id,phishing,IClickFix,ThreatFox
domain,wellfulli.com,phishing,IClickFix,ThreatFox
domain,www.immobiliarecatalanotto.it,phishing,IClickFix,ThreatFox
domain,demyras.nexastrive.uk,phishing,IClickFix,ThreatFox
domain,devin-industries.de,phishing,IClickFix,ThreatFox
domain,goldenprowrestling.com,phishing,IClickFix,ThreatFox
domain,hojemaringa.com.br,phishing,IClickFix,ThreatFox
domain,kannada.online,phishing,IClickFix,ThreatFox
domain,nationaldlab.com,phishing,IClickFix,ThreatFox
domain,rapjuve.com,phishing,IClickFix,ThreatFox
domain,alpha-inmobiliaria.com,phishing,IClickFix,ThreatFox
domain,asl-om.online,phishing,IClickFix,ThreatFox
domain,citizenhomecares.com,phishing,IClickFix,ThreatFox
domain,cor-sanders.com,phishing,IClickFix,ThreatFox
domain,daibaodan.com,phishing,IClickFix,ThreatFox
domain,misty-arc-rook-sleoor.com,phishing,IClickFix,ThreatFox
ip,199.47.241.52,c2,Remcos,ThreatFox
domain,delta-grafica.com,phishing,ClearFake,ThreatFox
domain,carfellas.ch,phishing,ClearFake,ThreatFox
ip,177.3.88.123,c2,VShell,ThreatFox
ip,38.242.151.91,c2,Havoc,ThreatFox
domain,multiculturalpartners.com,phishing,ClearFake,ThreatFox
domain,dataplaysolutions.com,phishing,ClearFake,ThreatFox
domain,api-relay.cc,phishing,ClearFake,ThreatFox
domain,3w9goh27.ummes.store,phishing,ClearFake,ThreatFox
domain,ummes.store,phishing,ClearFake,ThreatFox
domain,aucontainertrade.com,phishing,ClearFake,ThreatFox
ip,103.117.137.230,c2,Cobalt Strike,ThreatFox
ip,121.43.194.200,c2,Cobalt Strike,ThreatFox
domain,strongerpi921.life,phishing,IClickFix,ThreatFox
domain,millionpi66.website,phishing,IClickFix,ThreatFox
domain,quiet-ridge-slaikdoaen.com,phishing,IClickFix,ThreatFox
domain,shaltaypi.life,phishing,IClickFix,ThreatFox
domain,fern-trace-anvil-meoix.live,phishing,IClickFix,ThreatFox
domain,glacial-sketch-otter-triis.live,phishing,IClickFix,ThreatFox
domain,9si5pybc.pastinaikwisma.org,phishing,ClearFake,ThreatFox
domain,pastinaikwisma.org,phishing,ClearFake,ThreatFox
domain,ldgsn0tc.peuraboost.com,phishing,ClearFake,ThreatFox
domain,peuraboost.com,phishing,ClearFake,ThreatFox
url,https://rawcdn.githack.com/19875567137/76738746509856-346/refs/heads/main/3672836642-44,phishing,ClearFake,ThreatFox
domain,4clablx7.wisma138chiori.net,phishing,ClearFake,ThreatFox
domain,wisma138chiori.net,phishing,ClearFake,ThreatFox
ip,47.98.124.244,c2,Cobalt Strike,ThreatFox
ip,207.89.17.5,c2,Havoc,ThreatFox
domain,daniel.mevem.ch,phishing,ClearFake,ThreatFox
ip,38.54.105.102,c2,Jackskid,ThreatFox
ip,130.94.2.249,c2,Jackskid,ThreatFox
ip,38.60.208.16,c2,Jackskid,ThreatFox
ip,38.60.208.249,c2,Jackskid,ThreatFox
ip,102.220.163.42,c2,Remcos,ThreatFox
url,http://103.176.16.73:35431/Mozi.m,phishing,Mozi,ThreatFox
url,http://202.47.44.214:49189/Mozi.m,phishing,Mozi,ThreatFox
url,http://103.98.37.169:52059/Mozi.m,phishing,Mozi,ThreatFox
url,http://119.30.117.149:44574/Mozi.m,phishing,Mozi,ThreatFox
ip,43.155.214.112,c2,Aisuru,ThreatFox
ip,43.173.38.253,c2,Aisuru,ThreatFox
url,https://vmi3554101.contaboserver.net/d4ndocs/gateway.php,phishing,Grandoreiro,ThreatFox
url,https://ssoinfolink.com,phishing,Unknown malware,ThreatFox
url,https://accountvaulthub.com/get_verify,phishing,Unknown malware,ThreatFox
url,https://traceropszone.net/js/all.min.js,phishing,Unknown malware,ThreatFox
url,https://ssoinfolink.com/get_verify,phishing,Unknown malware,ThreatFox
domain,ssoinfolink.com,phishing,Unknown malware,ThreatFox
url,https://ssoinfolink.com/first_allow_host,phishing,Unknown malware,ThreatFox
domain,log-pacer.com,phishing,Unknown malware,ThreatFox
url,https://accountvaulthub.com/js/all.min.js,phishing,Unknown malware,ThreatFox
url,https://log-pacer.com,phishing,Unknown malware,ThreatFox
url,https://traceropszone.net/get_verify,phishing,Unknown malware,ThreatFox
url,https://traceropszone.net/first_allow_host,phishing,Unknown malware,ThreatFox
url,https://justlia-en.com,phishing,Unknown malware,ThreatFox
domain,accountvaulthub.com,phishing,Unknown malware,ThreatFox
url,https://ssoinfolink.com/js/all.min.js,phishing,Unknown malware,ThreatFox
domain,traceropszone.net,phishing,Unknown malware,ThreatFox
url,https://accountvaulthub.com/first_allow_host,phishing,Unknown malware,ThreatFox
domain,push-api.daibeltrading.com,c2,FAKEUPDATES,ThreatFox
ip,196.251.107.252,c2,Remcos,ThreatFox
url,http://153.117.55.1:49473/Mozi.m,phishing,Mozi,ThreatFox
domain,wlcm.v-panel.asia,c2,Vidar,ThreatFox
domain,avenix.lol,phishing,Agent Tesla,ThreatFox
domain,adenpanel.xyz,phishing,Agent Tesla,ThreatFox
domain,booohop.shop,c2,Remus,ThreatFox
domain,trwehop.shop,c2,Remus,ThreatFox
domain,gyadazs.shop,c2,Remus,ThreatFox
domain,cruahop.shop,c2,Remus,ThreatFox
domain,staxta.click,c2,Remus,ThreatFox
ip,2.25.222.233,c2,Remcos,ThreatFox
domain,justlia-en.com,phishing,Unknown malware,ThreatFox
url,https://auth-thomsonreuters.com,phishing,Unknown malware,ThreatFox
domain,auth-thomsonreuters.com,phishing,Unknown malware,ThreatFox
ip,103.67.163.201,c2,Remcos,ThreatFox
ip,85.137.252.40,c2,Unknown Stealer,ThreatFox
url,https://github.com/Siphodhl1980/nbew/releases/download/new/release-project.zip,phishing,Unknown Stealer,ThreatFox
url,https://github.com/Siphodhl1980/nbew/releases/download/new/clip.exe,phishing,Unknown Stealer,ThreatFox
url,https://github.com/Siphodhl1980/nbew/releases/download/new/main_kah.exe,phishing,Unknown Stealer,ThreatFox
url,https://github.com/Siphodhl1980/nbew/releases/download/new/main.exe,phishing,Unknown Stealer,ThreatFox
url,http://123.185.245.118:47609/Mozi.a,phishing,Mozi,ThreatFox
url,http://103.82.121.157:59671/Mozi.m,phishing,Mozi,ThreatFox
ip,217.60.195.6,c2,CECbot,ThreatFox
ip,130.94.0.245,c2,Jackskid,ThreatFox
ip,130.94.1.139,c2,Jackskid,ThreatFox
ip,38.54.105.72,c2,Jackskid,ThreatFox
ip,38.60.255.183,c2,Jackskid,ThreatFox
ip,38.60.255.37,c2,Jackskid,ThreatFox
domain,fog.beatdropkec.com,c2,ClearFake,ThreatFox
ip,31.56.209.74,c2,Remcos,ThreatFox
domain,09xadksl.wismajoko.net,phishing,ClearFake,ThreatFox
domain,wismajoko.net,phishing,ClearFake,ThreatFox
domain,wisma138albedo.com,phishing,ClearFake,ThreatFox
url,https://testingcf.jsdelivr.net/gh/19875567137/76738746509856-346/rty4657293847,phishing,ClearFake,ThreatFox
domain,learningworld.in,phishing,ClearFake,ThreatFox
domain,www.boutiques-decoration.fr,phishing,ClearFake,ThreatFox
ip,188.227.14.105,c2,Cobalt Strike,ThreatFox
ip,123.60.142.164,c2,Cobalt Strike,ThreatFox
domain,5o1lb12w.toxyk.store,phishing,ClearFake,ThreatFox
domain,toxyk.store,phishing,ClearFake,ThreatFox
ip,123.56.124.3,c2,Cobalt Strike,ThreatFox
ip,43.138.153.161,c2,Cobalt Strike,ThreatFox
domain,candxai.com,c2,Cobalt Strike,ThreatFox
domain,1328750890-eja72jp2s9.ap-guangzhou.tencentscf.com,c2,Cobalt Strike,ThreatFox
domain,k5iyfsce.wisma138paimon.org,phishing,ClearFake,ThreatFox
domain,wisma138paimon.org,phishing,ClearFake,ThreatFox
domain,wisma138keqing.org,phishing,ClearFake,ThreatFox
domain,7ejuc66d.hidupwisma.com,phishing,ClearFake,ThreatFox
domain,hidupwisma.com,phishing,ClearFake,ThreatFox
domain,a07uacwz.smity.store,phishing,ClearFake,ThreatFox
domain,smity.store,phishing,ClearFake,ThreatFox
ip,49.235.130.208,c2,Unknown malware,ThreatFox
ip,47.238.116.190,c2,Unknown malware,ThreatFox
domain,ze.zk89.net,c2,Vidar,ThreatFox
domain,ze.188wbtoto.org,c2,Vidar,ThreatFox
domain,1g5uv0u1.wisma138eula.org,phishing,ClearFake,ThreatFox
domain,wisma138eula.org,phishing,ClearFake,ThreatFox
url,https://netnet-capital.com/,phishing,Unknown malware,ThreatFox
domain,bonsaitheme.com,phishing,ClearFake,ThreatFox
domain,l0jpgk5p.tapl.store,phishing,ClearFake,ThreatFox
domain,tapl.store,phishing,ClearFake,ThreatFox
ip,211.159.178.25,c2,VShell,ThreatFox
ip,154.36.161.180,c2,Havoc,ThreatFox
ip,198.46.159.243,c2,VShell,ThreatFox
domain,tw77v76h.wisma138diluc.net,phishing,ClearFake,ThreatFox
domain,wisma138diluc.net,phishing,ClearFake,ThreatFox
domain,rc.vpix.top,c2,Remcos,ThreatFox
domain,rc.zpix.info,c2,Remcos,ThreatFox
domain,rc.szpd.info,c2,Remcos,ThreatFox
domain,rc.vxpd.info,c2,Remcos,ThreatFox
domain,rc.xlit.top,c2,Remcos,ThreatFox
domain,rc.svtt.top,c2,Remcos,ThreatFox
ip,139.155.138.221,c2,VShell,ThreatFox
ip,155.94.157.212,c2,VShell,ThreatFox
ip,123.60.80.177,c2,VShell,ThreatFox
domain,oakandstoneproperty.com,phishing,ClearFake,ThreatFox
ip,123.57.30.209,c2,VShell,ThreatFox
ip,49.234.47.190,c2,VShell,ThreatFox
ip,107.150.25.65,c2,VShell,ThreatFox
ip,47.120.46.170,c2,VShell,ThreatFox
ip,45.77.220.145,c2,VShell,ThreatFox
domain,icicxv0c.guswisma.net,phishing,ClearFake,ThreatFox
domain,guswisma.net,phishing,ClearFake,ThreatFox
domain,actfb6qo.zoyza.store,phishing,ClearFake,ThreatFox
domain,zoyza.store,phishing,ClearFake,ThreatFox
domain,rg33qflb.slov.store,phishing,ClearFake,ThreatFox
domain,slov.store,phishing,ClearFake,ThreatFox
ip,38.54.42.246,c2,VShell,ThreatFox
ip,130.94.30.168,c2,VShell,ThreatFox
ip,43.167.253.129,c2,DCRat,ThreatFox
ip,8.137.148.233,c2,DCRat,ThreatFox
ip,158.247.202.60,c2,Havoc,ThreatFox
url,https://testingcf.jsdelivr.net/gh/F819-39-A/764-D-A148-B414/1859294348L,phishing,ClearFake,ThreatFox
domain,andrewsenterprises.org,phishing,ClearFake,ThreatFox
url,https://cdn.statically.io/gh/19875567137/1267216556227698235249@main/73779326,phishing,ClearFake,ThreatFox
ip,111.170.148.177,c2,VShell,ThreatFox
ip,124.222.76.224,c2,VShell,ThreatFox
domain,iaap.iscte-iul.pt,phishing,ClearFake,ThreatFox
domain,563f1gxt.spom.store,phishing,ClearFake,ThreatFox
domain,spom.store,phishing,ClearFake,ThreatFox
ip,89.147.108.137,c2,Unknown malware,ThreatFox
ip,68.64.177.24,c2,AdaptixC2,ThreatFox
ip,45.202.0.111,c2,DCRat,ThreatFox
ip,45.150.109.209,c2,Unknown malware,ThreatFox
ip,31.76.125.14,c2,PureRAT,ThreatFox
ip,31.57.38.139,c2,PureRAT,ThreatFox
ip,23.171.176.253,c2,PureRAT,ThreatFox
domain,benaditahd.duckdns.org,c2,AsyncRAT,ThreatFox
ip,185.212.128.32,c2,Evilginx,ThreatFox
ip,172.94.18.103,c2,AsyncRAT,ThreatFox
ip,172.86.112.104,c2,AsyncRAT,ThreatFox
ip,154.18.238.18,c2,DCRat,ThreatFox
ip,150.241.203.12,c2,PureRAT,ThreatFox
ip,144.31.25.62,c2,PureRAT,ThreatFox
ip,143.20.185.213,c2,Mirai,ThreatFox
ip,128.90.141.49,c2,AsyncRAT,ThreatFox
ip,108.187.4.123,c2,PureRAT,ThreatFox
ip,103.97.131.179,c2,PureRAT,ThreatFox
ip,102.117.165.131,c2,Unknown malware,ThreatFox
domain,9arwza9k.zenfa.store,phishing,ClearFake,ThreatFox
domain,zenfa.store,phishing,ClearFake,ThreatFox
url,https://cdn.statically.io/gh/19875567137/1267216556227698235249@main/B89737793262FB-01,phishing,ClearFake,ThreatFox
ip,114.215.188.153,c2,Cobalt Strike,ThreatFox
ip,139.196.174.152,c2,Cobalt Strike,ThreatFox
domain,derpetuals.com,phishing,ClearFake,ThreatFox
domain,ganyangwisma.com,phishing,ClearFake,ThreatFox
url,https://cdn.jsdelivr.net/gh/19875567137/1267216556227698235249/994881017F1-EC,phishing,ClearFake,ThreatFox
domain,grand-atlas.ch,phishing,ClearFake,ThreatFox
ip,192.3.199.18,c2,Cobalt Strike,ThreatFox
domain,containerhomesbc.ca,phishing,ClearFake,ThreatFox
domain,alsa-sicherheitsdienst.de,phishing,ClearFake,ThreatFox
ip,82.47.101.153,c2,XWorm,ThreatFox
ip,188.52.56.123,c2,XWorm,ThreatFox
domain,ao88mi.com,c2,Quasar RAT,ThreatFox
domain,kuy88.xyz,c2,Quasar RAT,ThreatFox
domain,www.x88mi.com,c2,Quasar RAT,ThreatFox
domain,ga888vnd.com,c2,Quasar RAT,ThreatFox
domain,mb66.uk.net,c2,Quasar RAT,ThreatFox
domain,ccz.us.com,c2,Quasar RAT,ThreatFox
domain,mb66-okvip.com,c2,Quasar RAT,ThreatFox
domain,glossysquid.pro,c2,Quasar RAT,ThreatFox
domain,f168s.best,c2,Quasar RAT,ThreatFox
domain,mb66s.club,c2,Quasar RAT,ThreatFox
domain,mb66online.com,c2,Quasar RAT,ThreatFox
domain,f8bet-k2.buzz,c2,Quasar RAT,ThreatFox
domain,ok99.io,c2,Quasar RAT,ThreatFox
domain,ok9.rip,c2,Quasar RAT,ThreatFox
domain,789bet.cafe,c2,Quasar RAT,ThreatFox
domain,mb66.property,c2,Quasar RAT,ThreatFox
domain,jun88.esq,c2,Quasar RAT,ThreatFox
domain,mb66.ooo,c2,Quasar RAT,ThreatFox
domain,mb66.lifestyle,c2,Quasar RAT,ThreatFox
domain,mb66.download,c2,Quasar RAT,ThreatFox
domain,luck8.webcam,c2,Quasar RAT,ThreatFox
domain,ok8386.video,c2,Quasar RAT,ThreatFox
ip,169.58.227.69,c2,Quasar RAT,ThreatFox
domain,cashicash.workablegoods.com,c2,Remcos,ThreatFox
domain,coachile.monimachirismanu.com,c2,Remcos,ThreatFox
domain,mastama.akijinkuu.com,c2,Remcos,ThreatFox
domain,monjiso.v6.army,c2,Remcos,ThreatFox
domain,puremoni.weydneycross.com,c2,Remcos,ThreatFox
domain,newjosmoo.ddns.net,c2,Remcos,ThreatFox
domain,68gbsg.com,c2,Remcos,ThreatFox
domain,f5tech.in,c2,Remcos,ThreatFox
domain,trcasinobets.com,c2,Remcos,ThreatFox
domain,u88.mex.com,c2,Remcos,ThreatFox
domain,u88.run,c2,Remcos,ThreatFox
domain,u888bet.pro,c2,Remcos,ThreatFox
domain,u888casino.vip,c2,Remcos,ThreatFox
domain,ug8828.com,c2,Remcos,ThreatFox
domain,ajaib168slot.com,c2,Remcos,ThreatFox
domain,bj38-top.online,c2,Remcos,ThreatFox
domain,bj38.jpn.com,c2,Remcos,ThreatFox
domain,bj38.nl,c2,Remcos,ThreatFox
domain,bj88-vnd.com,c2,Remcos,ThreatFox
domain,bj88.fifa55we.com,c2,Remcos,ThreatFox
domain,bj884.com,c2,Remcos,ThreatFox
domain,bj88g.com,c2,Remcos,ThreatFox
domain,cravenw.tv,c2,Remcos,ThreatFox
domain,damac-suncity.in.net,c2,Remcos,ThreatFox
domain,e2bet.technology,c2,Remcos,ThreatFox
domain,ebet188.co,c2,Remcos,ThreatFox
domain,fifa55dd.com,c2,Remcos,ThreatFox
domain,fifa55n.com,c2,Remcos,ThreatFox
domain,gama-casino-rzb.buzz,c2,Remcos,ThreatFox
domain,ratu88hoki.com,c2,Remcos,ThreatFox
domain,sifang.buzz,c2,Remcos,ThreatFox
domain,188toto.co,c2,Remcos,ThreatFox
domain,samara2026.duckdns.org,c2,Remcos,ThreatFox
domain,mikosmtmiaomu.ddns.net,c2,Remcos,ThreatFox
domain,aq5tnc6p.ytec.store,phishing,ClearFake,ThreatFox
domain,ytec.store,phishing,ClearFake,ThreatFox
ip,160.30.231.215,c2,VShell,ThreatFox
ip,68.64.177.32,c2,VShell,ThreatFox
ip,207.57.123.129,c2,AdaptixC2,ThreatFox
ip,102.220.88.241,c2,VShell,ThreatFox
domain,mpgowpnw.pesas.store,phishing,ClearFake,ThreatFox
url,https://yewanthology.co/rate/settings-compiler.js,phishing,SmartApeSG,ThreatFox
domain,larchfable.cloud,phishing,SmartApeSG,ThreatFox
url,https://larchfable.cloud/verify/api-theme.js,phishing,SmartApeSG,ThreatFox
domain,k3.zk89.net,c2,Vidar,ThreatFox
domain,8mbpoymu.sigosa.store,phishing,ClearFake,ThreatFox
domain,sigosa.store,phishing,ClearFake,ThreatFox
domain,k3.188wbtoto.org,c2,Vidar,ThreatFox
domain,store.purestack.lol,c2,Unknown malware,ThreatFox
ip,47.243.191.83,c2,Cobalt Strike,ThreatFox
domain,yb0sm6rr.navv.store,phishing,ClearFake,ThreatFox
domain,02eiya9o.xn--ndux-kza.store,phishing,ClearFake,ThreatFox
domain,xn--ndux-kza.store,phishing,ClearFake,ThreatFox
ip,130.94.65.192,c2,Jackskid,ThreatFox
ip,130.94.88.159,c2,Jackskid,ThreatFox
ip,38.54.108.219,c2,Jackskid,ThreatFox
ip,38.60.179.212,c2,Jackskid,ThreatFox
ip,38.60.196.200,c2,Jackskid,ThreatFox
ip,143.244.141.187,c2,Remus,ThreatFox
domain,anarchy10.duckdns.org,c2,AsyncRAT,ThreatFox
ip,45.61.170.191,c2,Cobalt Strike,ThreatFox
domain,6al7ob99.xcat.store,phishing,ClearFake,ThreatFox
domain,xcat.store,phishing,ClearFake,ThreatFox
url,https://www.piccadillybistrot.it/,phishing,Unknown malware,ThreatFox
ip,1.14.100.25,c2,VShell,ThreatFox
ip,106.15.104.224,c2,VShell,ThreatFox
ip,125.75.36.126,c2,Unknown malware,ThreatFox
url,https://prontohandymanllc.com/,phishing,Unknown malware,ThreatFox
url,https://fullynsure.com/,phishing,Unknown malware,ThreatFox
url,https://davariyabrothers.com/,phishing,Unknown malware,ThreatFox
domain,somageneva.ch,phishing,ClearFake,ThreatFox
domain,docucentercentral.live,c2,Unknown malware,ThreatFox
url,http://103.174.243.207:53259/Mozi.m,phishing,Mozi,ThreatFox
url,http://110.38.8.126:39702/Mozi.a,phishing,Mozi,ThreatFox
url,http://103.162.41.140:51170/Mozi.m,phishing,Mozi,ThreatFox
url,http://222.127.55.224:51117/Mozi.a,phishing,Mozi,ThreatFox
ip,47.94.143.231,c2,VShell,ThreatFox
ip,130.94.66.82,c2,VShell,ThreatFox
ip,162.243.73.157,c2,VShell,ThreatFox
domain,248labs.ch,phishing,Unknown malware,ThreatFox
domain,r9zhnj8a.palso.store,phishing,ClearFake,ThreatFox
domain,windowsdiagnostics.st,c2,Unknown malware,ThreatFox
domain,debug.windowsdiagnostics.st,c2,Unknown malware,ThreatFox
url,https://windowsdiagnostics.st/api/static/loading,phishing,Unknown malware,ThreatFox
url,https://windowsdiagnostics.st/api/static/exodus.asar,phishing,Unknown malware,ThreatFox
url,https://windowsdiagnostics.st/api/static/python,phishing,Unknown malware,ThreatFox
url,https://windowsdiagnostics.st/api/static/index.js,phishing,Unknown malware,ThreatFox
url,http://debug.windowsdiagnostics.st:8080/resources/xmrig,phishing,Unknown malware,ThreatFox
url,http://debug.windowsdiagnostics.st:8080/resources/gminer,phishing,Unknown malware,ThreatFox
ip,103.83.86.147,c2,Remcos,ThreatFox
ip,161.35.166.196,c2,Aisuru,ThreatFox
domain,48ex7rbv.moren.store,phishing,ClearFake,ThreatFox
domain,mcreu5e7.heroe.store,phishing,ClearFake,ThreatFox
url,https://cdn.jsdelivr.net/gh/19875567137/4756211933kfd/gfd65848765,phishing,ClearFake,ThreatFox
domain,uo2vv3xp.segaup.store,phishing,ClearFake,ThreatFox
domain,segaup.store,phishing,ClearFake,ThreatFox
domain,updates.rootwave.cc,c2,AnimateClipper,ThreatFox
domain,stream.echovale.cc,c2,AnimateClipper,ThreatFox
ip,114.215.190.164,c2,VShell,ThreatFox
ip,117.72.222.49,c2,VShell,ThreatFox
domain,www.snmechanicalhvac.com,phishing,IClickFix,ThreatFox
domain,www.teczkibezkwasowe.com,phishing,IClickFix,ThreatFox
domain,www.weilaizhijiao.com,phishing,IClickFix,ThreatFox
domain,www.wilsondrugs.com,phishing,IClickFix,ThreatFox
domain,www.wrongside.it,phishing,IClickFix,ThreatFox
domain,talatatilla.com,phishing,IClickFix,ThreatFox
domain,trueform.cn,phishing,IClickFix,ThreatFox
domain,tvrepair.ae,phishing,IClickFix,ThreatFox
domain,walterwaygood.com,phishing,IClickFix,ThreatFox
domain,www.bildhochdrei.at,phishing,IClickFix,ThreatFox
domain,www.eliterisk.com,phishing,IClickFix,ThreatFox
domain,www.fairmounthomestaging.com,phishing,IClickFix,ThreatFox
domain,www.lambayecano.com,phishing,IClickFix,ThreatFox
domain,www.nanofotonica.it,phishing,IClickFix,ThreatFox
domain,www.pharmafranchisemart.com,phishing,IClickFix,ThreatFox
domain,www.piccadillybistrot.it,phishing,IClickFix,ThreatFox
domain,www.smartlc.it,phishing,IClickFix,ThreatFox
domain,muninn.nl,phishing,IClickFix,ThreatFox
domain,ncoeorg.in,phishing,IClickFix,ThreatFox
domain,pachocreate.com,phishing,IClickFix,ThreatFox
domain,plasis-em.com,phishing,IClickFix,ThreatFox
domain,prontohandymanllc.com,phishing,IClickFix,ThreatFox
domain,skill-cert.com,phishing,IClickFix,ThreatFox
domain,spairobeauty.com,phishing,IClickFix,ThreatFox
domain,stepplumbing.com.au,phishing,IClickFix,ThreatFox
domain,sudewi.com,phishing,IClickFix,ThreatFox
domain,supwithwade.com,phishing,IClickFix,ThreatFox
domain,taazaproducts.com,phishing,IClickFix,ThreatFox
domain,hoshizouen.co.jp,phishing,IClickFix,ThreatFox
domain,innoventservices.com,phishing,IClickFix,ThreatFox
domain,iocky.com,phishing,IClickFix,ThreatFox
domain,klanbaatnagger.dk,phishing,IClickFix,ThreatFox
domain,latacoyota.com,phishing,IClickFix,ThreatFox
domain,lms-teckpia.com,phishing,IClickFix,ThreatFox
domain,lomboktourbooking.com,phishing,IClickFix,ThreatFox
domain,makerman.in,phishing,IClickFix,ThreatFox
domain,mordemsanat.com.tr,phishing,IClickFix,ThreatFox
domain,mrpiccam.com,phishing,IClickFix,ThreatFox
domain,mrusinagem.com,phishing,IClickFix,ThreatFox
domain,bucaramanga.consulado.gob.ve,phishing,IClickFix,ThreatFox
